section_model,section_fs,caption,label,tau,alpha,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,latency_mean,latency_std,retain_mean,retain_std,n_runs,support_seed,rank_in_section,is_best_accuracy,is_best_latency,row_color,Accuracy (± std),F1 Macro (± std),"Latency (± std, ms)",Retain (± std),Accuracy (LaTeX),F1 Macro (LaTeX),Latency (LaTeX),Retain (LaTeX)
BERT,100,BERT student results for FS=100.,tab:bert_fs100,1.5,0.1,0.8735526315789475,0.0045495798175052195,0.8735441550517022,0.0045955678625092256,7.270986020060566,0.9866583986848264,0.9229806756568886,0.004807007731550045,10,123,12,False,False,,0.8736 ± 0.0045,0.8735 ± 0.0046,7.27 ± 0.99,0.9230 ± 0.0048,0.8736 $\pm$ 0.0045,0.8735 $\pm$ 0.0046,7.27 $\pm$ 0.99,0.9230 $\pm$ 0.0048
BERT,100,BERT student results for FS=100.,tab:bert_fs100,3.0,0.7,0.8733026315789474,0.004136990347477066,0.8732723854834974,0.004278624377383741,7.016635513294508,1.1010113989998553,0.9227165299596832,0.004371072798668935,10,123,13,False,False,,0.8733 ± 0.0041,0.8733 ± 0.0043,7.02 ± 1.10,0.9227 ± 0.0044,0.8733 $\pm$ 0.0041,0.8733 $\pm$ 0.0043,7.02 $\pm$ 1.10,0.9227 $\pm$ 0.0044
BERT,100,BERT student results for FS=100.,tab:bert_fs100,0.5,0.5,0.8731973684210527,0.004997710309834695,0.8731164397288529,0.0052136718596626315,6.553550006732015,0.587547059516318,0.9226053107187543,0.005280494696891929,10,123,14,False,False,,0.8732 ± 0.0050,0.8731 ± 0.0052,6.55 ± 0.59,0.9226 ± 0.0053,0.8732 $\pm$ 0.0050,0.8731 $\pm$ 0.0052,6.55 $\pm$ 0.59,0.9226 $\pm$ 0.0053
BERT,100,BERT student results for FS=100.,tab:bert_fs100,1.0,0.1,0.8728815789473685,0.005191192940834414,0.8727113407383259,0.005718113371734866,6.519089633317586,0.7882929148551427,0.9222716529959685,0.005484925114742335,10,123,15,False,False,,0.8729 ± 0.0052,0.8727 ± 0.0057,6.52 ± 0.79,0.9223 ± 0.0055,0.8729 $\pm$ 0.0052,0.8727 $\pm$ 0.0057,6.52 $\pm$ 0.79,0.9223 $\pm$ 0.0055
BERT,100,BERT student results for FS=100.,tab:bert_fs100,2.5,0.3,0.8728552631578947,0.005089250374582914,0.8727873681324401,0.005147263000030406,7.013251039934403,1.1961944662141253,0.9222438481857361,0.005377214353792587,10,123,16,False,False,,0.8729 ± 0.0051,0.8728 ± 0.0051,7.01 ± 1.20,0.9222 ± 0.0054,0.8729 $\pm$ 0.0051,0.8728 $\pm$ 0.0051,7.01 $\pm$ 1.20,0.9222 $\pm$ 0.0054
BERT,100,BERT student results for FS=100.,tab:bert_fs100,1.0,0.7,0.8718947368421052,0.0035530105927345282,0.8718187613349409,0.0036490159690093014,6.496176093254084,0.8391197331406797,0.921228972612262,0.0037540498407872126,10,123,17,False,False,,0.8719 ± 0.0036,0.8718 ± 0.0036,6.50 ± 0.84,0.9212 ± 0.0038,0.8719 $\pm$ 0.0036,0.8718 $\pm$ 0.0036,6.50 $\pm$ 0.84,0.9212 $\pm$ 0.0038
BERT,100,BERT student results for FS=100.,tab:bert_fs100,2.5,0.7,0.8718684210526316,0.006279684814270085,0.8717224246036439,0.00601382404303996,6.817907540001518,0.7821382805965206,0.9212011678020298,0.006635006893987589,10,123,18,False,False,,0.8719 ± 0.0063,0.8717 ± 0.0060,6.82 ± 0.78,0.9212 ± 0.0066,0.8719 $\pm$ 0.0063,0.8717 $\pm$ 0.0060,6.82 $\pm$ 0.78,0.9212 $\pm$ 0.0066
BERT,100,BERT student results for FS=100.,tab:bert_fs100,1.0,0.5,0.8714078947368421,0.00597298537788329,0.8711460571606497,0.006075142384076502,6.574709546803206,0.8007331833966894,0.9207145836229668,0.006310953548159744,10,123,19,False,False,,0.8714 ± 0.0060,0.8711 ± 0.0061,6.57 ± 0.80,0.9207 ± 0.0063,0.8714 $\pm$ 0.0060,0.8711 $\pm$ 0.0061,6.57 $\pm$ 0.80,0.9207 $\pm$ 0.0063
BERT,100,BERT student results for FS=100.,tab:bert_fs100,0.1,0.3,0.8712763157894736,0.007511161797906124,0.8711637189689252,0.007923619975376942,6.621854013198269,0.7370827976672056,0.9205755595718058,0.00793616427972843,10,123,20,False,False,,0.8713 ± 0.0075,0.8712 ± 0.0079,6.62 ± 0.74,0.9206 ± 0.0079,0.8713 $\pm$ 0.0075,0.8712 $\pm$ 0.0079,6.62 $\pm$ 0.74,0.9206 $\pm$ 0.0079
BERT,100,BERT student results for FS=100.,tab:bert_fs100,0.1,0.9,0.8710526315789474,0.007921737453639523,0.8707699373917933,0.008374829362969035,6.716205746646058,0.6327954170108434,0.9203392186848325,0.008369971451085851,10,123,21,False,False,,0.8711 ± 0.0079,0.8708 ± 0.0084,6.72 ± 0.63,0.9203 ± 0.0084,0.8711 $\pm$ 0.0079,0.8708 $\pm$ 0.0084,6.72 $\pm$ 0.63,0.9203 $\pm$ 0.0084
